pitch_type,game_date,balls,strikes,outs_when_up,inning,at_bat_number,pitch_number,pitcher_days_since_prev_game,run_diff,runners_on,prev_release_speed,prev_release_spin_rate,prev_pitch_type_FF,prev_pitch_type_FS,prev_pitch_type_SI,prev_pitch_type_SL,stand_L,stand_R,p_throws_R
FF,2025-03-28,-0.11941990038879732,-1.7573469767311387,-1.2534601889308965,1,-1.5864979440721625,-1.0213405232450612,,-0.13254973639276357,-0.6716308845415353,0.9488805361513036,0.9974432038027737,True,False,False,False,True,False,True
FF,2025-03-28,-0.11941990038879732,-0.37634459355255023,-1.2534601889308965,1,-1.5864979440721625,-0.3858397532259121,,-0.13254973639276357,-0.6716308845415353,1.0253042282176124,0.9475690470006707,True,False,False,False,True,False,True
SL,2025-03-28,-0.11941990038879732,1.0046577896260382,-1.2534601889308965,1,-1.5864979440721625,0.24966101679323716,,-0.13254973639276357,-0.6716308845415353,1.2163634583833811,0.9257491033997506,True,False,False,False,True,False,True
FF,2025-03-28,0.9487247641998899,1.0046577896260382,-1.2534601889308965,1,-1.5864979440721625,0.8851617868123863,,-0.13254973639276357,-0.6716308845415353,-0.4840636900919632,1.2935710098152609,False,False,False,True,True,False,True
FF,2025-03-28,2.0168694287885773,1.0046577896260382,-1.2534601889308965,1,-1.5864979440721625,1.5206625568315355,,-0.13254973639276357,-0.6716308845415353,1.1972575353668053,0.9382176426002764,True,False,False,False,True,False,True
FF,2025-03-28,-1.1875645649774846,-0.37634459355255023,-0.013954067362378418,1,-1.5214740191715264,-1.0213405232450612,,-0.13254973639276357,-0.6716308845415353,1.2163634583833811,0.9662718558014594,True,False,False,False,True,False,True
FS,2025-03-28,-1.1875645649774846,1.0046577896260382,-0.013954067362378418,1,-1.5214740191715264,-0.3858397532259121,,-0.13254973639276357,-0.6716308845415353,1.0253042282176124,0.6732611845891038,True,False,False,False,True,False,True
FF,2025-03-28,-0.11941990038879732,1.0046577896260382,-0.013954067362378418,1,-1.5214740191715264,0.24966101679323716,,-0.13254973639276357,-0.6716308845415353,-0.2738985369096158,-3.993223928771069e-05,False,True,False,False,True,False,True
SL,2025-03-28,0.9487247641998899,1.0046577896260382,-0.013954067362378418,1,-1.5214740191715264,0.8851617868123863,,-0.13254973639276357,-0.6716308845415353,1.2736812274331113,1.2686339314142092,True,False,False,False,True,False,True
FF,2025-03-28,-1.1875645649774846,-0.37634459355255023,1.2255520542061398,1,-1.45645009427089,-1.0213405232450612,,-0.13254973639276357,-0.6716308845415353,-1.0954532266224215,0.9725061254017222,False,False,False,True,False,True,True
SL,2025-03-28,-1.1875645649774846,1.0046577896260382,1.2255520542061398,1,-1.45645009427089,-0.3858397532259121,,-0.13254973639276357,-0.6716308845415353,1.235469381399957,1.1938226962110547,True,False,False,False,False,True,True
FS,2025-03-28,-0.11941990038879732,1.0046577896260382,1.2255520542061398,1,-1.45645009427089,0.24966101679323716,,-0.13254973639276357,-0.6716308845415353,-0.7515466123240381,1.4681305586226217,False,False,False,True,False,True,True
FS,2025-03-28,0.9487247641998899,1.0046577896260382,1.2255520542061398,1,-1.45645009427089,0.8851617868123863,,-0.13254973639276357,-0.6716308845415353,-0.6178051512079993,-0.3179876818526948,False,True,False,False,False,True,True
FF,2025-03-28,-1.1875645649774846,-0.37634459355255023,-1.2534601889308965,2,-1.0663065448670723,-1.0213405232450612,,-0.13254973639276357,-0.6716308845415353,0.9870923821844579,0.5298729837830575,True,False,False,False,True,False,True
FS,2025-03-28,-0.11941990038879732,-0.37634459355255023,-1.2534601889308965,2,-1.0663065448670723,-0.3858397532259121,,-0.13254973639276357,-0.6716308845415353,1.1208338433004967,0.8135322505950187,True,False,False,False,True,False,True
